agency_id,agency_name,agency_url,agency_timezone
0,NULL,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
1,Abeka Lapaz Circle Accra Local of Abeka Branch of G.P.R.T.U,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
2,Abeka Lapaz Highway (GPRTU),https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
3,Abeka Lapaz Madina Adenta (Novotel) Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
4,Abeka Trotro Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
5,Abeka-Lapaz Kaneshie Agbogbloshie Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
7,Abelemkpe Dzorwulu Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
9,Accra Arena - Total Zongo - Russia - Marteheko Branch of G.P.R.T.U,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
10,Accra CMB Branch  No. 2 of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
11,Accra Mamponse Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
13,Accra New Town (Novotel) Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
12,Accra New Town Timber Market Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
15,Accra Newtown - 37 - Burma Camp - Madina Branch,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
16,Accra No. 2 Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
17,Accra-Chorkor-Mamponse Taxi Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
18,Achimota - Lapaz Taxi & Hiring Branch of G.P.R.T.U,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
19,Achimota Co-operative Taxi Branch,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
20,Achimota Co-operative Transport Society Limited,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
21,Achimota GPRTU Main Branch,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
22,Achimota Haatso Kwashieman Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
25,Adabraka Co-operative Transport Society Limited,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
27,Alajo Trotro Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
29,Ayawaso Co-operative Transport Society Limited,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
30,Banana Inn Salaga Tema Station Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
31,Biakoye Taxi Union Branch of G.P.R.T.U,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
33,Bubuashie Trotro Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
32,Bubuashie-Atico-Circle Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
35,Chorkor Trotro Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
36,Dansoman Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
38,Dansoman Co-operative Transport Society,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
41,Darkuman - Accra Branch of G.P.R.T.U,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
42,East Legon Taxi Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
43,East Legon-La Bawaleshie-M-A-S-A  GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
45,Grace PROTOA,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
46,Grace PROTOA Lapaz Taxi,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
47,Hansonic Taxi Drivers Union,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
