fare_id,price,currency_type,payment_method,transfers,transfer_duration
fare_00,0.5,CAD,0,,
fare_01,0.7,CAD,0,,
fare_02,0.8,CAD,0,,
fare_03,0.9,CAD,0,,
fare_04,1.0,CAD,0,,
fare_05,1.1,CAD,0,,
fare_06,1.2,CAD,0,,
fare_07,1.3,CAD,0,,
fare_08,1.4,CAD,0,,
fare_09,1.5,CAD,0,,
fare_10,1.6,CAD,0,,
fare_11,1.7,CAD,0,,
fare_12,1.8,CAD,0,,
fare_13,1.9,CAD,0,,
fare_14,2.0,CAD,0,,
fare_15,2.1,CAD,0,,
fare_16,2.2,CAD,0,,
fare_17,2.3,CAD,0,,
fare_18,2.4,CAD,0,,
fare_19,2.5,CAD,0,,
fare_20,2.6,CAD,0,,
fare_21,2.7,CAD,0,,
fare_22,2.8,CAD,0,,
fare_23,3.0,CAD,0,,
fare_24,3.3,CAD,0,,
fare_25,3.5,CAD,0,,
fare_26,3.6,CAD,0,,
fare_27,3.7,CAD,0,,
fare_28,4.0,CAD,0,,
fare_29,8.0,CAD,0,,
fare_30,9.0,CAD,0,,
