route_id,fare_id,contains_id,destination_id,origin_id
002A,fare_06,,,
002B,fare_06,,,
003A,fare_07,,,
003B,fare_07,,,
004B,fare_25,,,
005A,fare_25,,,
005B,fare_25,,,
006A,fare_20,,,
006B,fare_20,,,
007A,fare_09,,,
007B,fare_09,,,
008A,fare_25,,,
008B,fare_25,,,
009A,fare_26,,,
009B,fare_26,,,
010A,fare_11,,,
010B,fare_11,,,
011A,fare_08,,,
011B,fare_10,,,
012A,fare_06,,,
012B,fare_06,,,
013A,fare_06,,,
013B,fare_06,,,
014A,fare_10,,,
014B,fare_09,,,
015A,fare_12,,,
015B,fare_12,,,
016A,fare_19,,,
016B,fare_12,,,
017A,fare_19,,,
017B,fare_17,,,
018B,fare_17,,,
019A,fare_23,,,
019B,fare_23,,,
020A,fare_08,,,
020B,fare_09,,,
021A,fare_08,,,
021B,fare_09,,,
023A,fare_22,,,
023B,fare_20,,,
026A,fare_23,,,
026B,fare_08,,,
028A,fare_05,,,
028B,fare_05,,,
029A,fare_07,,,
029B,fare_07,,,
030A,fare_07,,,
030B,fare_08,,,
031A,fare_08,,,
035B,fare_12,,,
036A,fare_10,,,
036B,fare_10,,,
038A,fare_13,,,
038B,fare_13,,,
039A,fare_08,,,
040A,fare_27,,,
040B,fare_27,,,
041A,fare_11,,,
043A,fare_08,,,
043B,fare_08,,,
044A,fare_08,,,
044B,fare_08,,,
046A,fare_08,,,
046B,fare_08,,,
048A,fare_10,,,
048B,fare_10,,,
050A,fare_08,,,
050B,fare_08,,,
051A,fare_14,,,
051B,fare_14,,,
052A,fare_19,,,
052B,fare_19,,,
058A,fare_05,,,
058B,fare_07,,,
061A,fare_09,,,
061B,fare_09,,,
064A,fare_12,,,
064B,fare_12,,,
065A,fare_08,,,
065B,fare_08,,,
066A,fare_14,,,
066B,fare_14,,,
067A,fare_08,,,
067B,fare_15,,,
070A,fare_07,,,
070B,fare_04,,,
071A,fare_07,,,
071B,fare_04,,,
072A,fare_07,,,
072B,fare_06,,,
074A,fare_06,,,
075A,fare_19,,,
075B,fare_19,,,
076A,fare_07,,,
076B,fare_07,,,
079A,fare_12,,,
079B,fare_10,,,
080B,fare_09,,,
081B,fare_12,,,
082A,fare_11,,,
082B,fare_11,,,
084A,fare_13,,,
084B,fare_14,,,
085A,fare_06,,,
085B,fare_06,,,
088A,fare_11,,,
088B,fare_11,,,
090A,fare_09,,,
090B,fare_09,,,
092A,fare_10,,,
096A,fare_06,,,
096B,fare_06,,,
098A,fare_02,,,
098B,fare_02,,,
099A,fare_07,,,
099B,fare_07,,,
100B,fare_07,,,
102A,fare_09,,,
102B,fare_09,,,
103A,fare_07,,,
103B,fare_07,,,
104A,fare_13,,,
104B,fare_13,,,
105A,fare_18,,,
105B,fare_18,,,
107A,fare_08,,,
107B,fare_08,,,
112B,fare_27,,,
114A,fare_08,,,
114B,fare_08,,,
116A,fare_24,,,
116B,fare_24,,,
117A,fare_24,,,
117B,fare_24,,,
118A,fare_19,,,
118B,fare_19,,,
120A,fare_11,,,
120B,fare_11,,,
121A,fare_07,,,
121B,fare_07,,,
122A,fare_11,,,
122B,fare_12,,,
123A,fare_07,,,
123B,fare_07,,,
139A,fare_05,,,
139B,fare_05,,,
140A,fare_17,,,
143A,fare_04,,,
143B,fare_04,,,
144A,fare_04,,,
144B,fare_04,,,
146A,fare_06,,,
146B,fare_06,,,
147A,fare_25,,,
149A,fare_05,,,
149B,fare_05,,,
155A,fare_01,,,
155B,fare_02,,,
156A,fare_07,,,
156B,fare_07,,,
157A,fare_05,,,
157B,fare_05,,,
159A,fare_04,,,
159B,fare_04,,,
163A,fare_07,,,
164A,fare_03,,,
164B,fare_30,,,
165A,fare_06,,,
165B,fare_06,,,
166A,fare_06,,,
166B,fare_06,,,
167A,fare_00,,,
167B,fare_02,,,
170A,fare_05,,,
170B,fare_05,,,
172A,fare_07,,,
172B,fare_07,,,
173A,fare_09,,,
173B,fare_09,,,
175A,fare_09,,,
175B,fare_09,,,
178A,fare_08,,,
178B,fare_08,,,
185A,fare_05,,,
185B,fare_05,,,
186A,fare_23,,,
186B,fare_06,,,
188A,fare_23,,,
188B,fare_07,,,
192A,fare_14,,,
192B,fare_06,,,
193A,fare_14,,,
193B,fare_06,,,
196A,fare_04,,,
196B,fare_04,,,
200A,fare_14,,,
200B,fare_14,,,
201A,fare_04,,,
201B,fare_04,,,
202A,fare_14,,,
202B,fare_14,,,
204A,fare_14,,,
204B,fare_14,,,
205A,fare_14,,,
205B,fare_14,,,
206A,fare_14,,,
206B,fare_14,,,
207A,fare_09,,,
207B,fare_09,,,
208A,fare_14,,,
208B,fare_14,,,
209A,fare_09,,,
209B,fare_09,,,
210A,fare_09,,,
210B,fare_09,,,
211A,fare_29,,,
211B,fare_29,,,
212A,fare_14,,,
212B,fare_14,,,
214B,fare_09,,,
216A,fare_06,,,
216B,fare_06,,,
219A,fare_06,,,
219B,fare_06,,,
221A,fare_11,,,
221B,fare_11,,,
222B,fare_05,,,
223A,fare_12,,,
223B,fare_12,,,
224A,fare_08,,,
225A,fare_12,,,
225B,fare_12,,,
226A,fare_04,,,
226B,fare_04,,,
227A,fare_17,,,
227B,fare_17,,,
228A,fare_04,,,
228B,fare_04,,,
230B,fare_12,,,
231B,fare_11,,,
232A,fare_14,,,
232B,fare_14,,,
235A,fare_14,,,
235B,fare_14,,,
236A,fare_08,,,
236B,fare_09,,,
237A,fare_10,,,
237B,fare_10,,,
238A,fare_09,,,
238B,fare_09,,,
239A,fare_09,,,
239B,fare_09,,,
240A,fare_11,,,
240B,fare_11,,,
241A,fare_12,,,
241B,fare_12,,,
242A,fare_08,,,
242B,fare_08,,,
243A,fare_12,,,
243B,fare_12,,,
244A,fare_08,,,
244B,fare_08,,,
246A,fare_06,,,
246B,fare_09,,,
247A,fare_08,,,
247B,fare_08,,,
248A,fare_08,,,
248B,fare_08,,,
249A,fare_04,,,
249B,fare_04,,,
251A,fare_09,,,
251B,fare_09,,,
254A,fare_06,,,
254B,fare_06,,,
255A,fare_11,,,
255B,fare_11,,,
256A,fare_14,,,
256B,fare_11,,,
260A,fare_08,,,
260B,fare_08,,,
262A,fare_09,,,
262B,fare_09,,,
263A,fare_16,,,
263B,fare_16,,,
264A,fare_04,,,
264B,fare_04,,,
265A,fare_03,,,
265B,fare_03,,,
266A,fare_09,,,
266B,fare_09,,,
267A,fare_05,,,
267B,fare_05,,,
269A,fare_04,,,
269B,fare_04,,,
270A,fare_05,,,
270B,fare_05,,,
271A,fare_07,,,
271B,fare_07,,,
273A,fare_07,,,
273B,fare_07,,,
274A,fare_08,,,
274B,fare_08,,,
275A,fare_19,,,
275B,fare_19,,,
276A,fare_07,,,
276B,fare_07,,,
277A,fare_05,,,
277B,fare_05,,,
278A,fare_07,,,
278B,fare_07,,,
281A,fare_04,,,
281B,fare_04,,,
282A,fare_05,,,
282B,fare_05,,,
283A,fare_02,,,
283B,fare_01,,,
284A,fare_14,,,
286A,fare_14,,,
286B,fare_14,,,
287A,fare_11,,,
287B,fare_11,,,
290A,fare_13,,,
290B,fare_13,,,
291A,fare_09,,,
291B,fare_09,,,
293A,fare_09,,,
293B,fare_09,,,
295A,fare_07,,,
295B,fare_06,,,
296A,fare_06,,,
296B,fare_06,,,
298A,fare_06,,,
298B,fare_06,,,
299A,fare_10,,,
299B,fare_10,,,
300A,fare_10,,,
300B,fare_10,,,
301A,fare_17,,,
302A,fare_09,,,
302B,fare_09,,,
303A,fare_10,,,
303B,fare_10,,,
305A,fare_07,,,
305B,fare_07,,,
306A,fare_09,,,
