route_id,route_short_name,agency_id,route_long_name,route_type
385B,385B,15,37 Station to New Town Station,3
056A,056A,67,Abeka lapaz to Race Course,3
277B,277B,51,C to Kaneshie Mamprobi Station,3
311A,311A,57,Kotobabi Down Station to Accra New Tema Station,3
200A,200A,31,Circle Odorna Station to New Melcom,3
202A,202A,25,UTC Station to Novotel,3
538A,538A,99,Zamrara Line to Kaneshie Mkt Cmplx,3
255B,255B,43,Circle Odorna Station to East Legon,3
421A,421A,95,Circle Near Las Palmas (PROTOA) to Ashiaman Station,3
422A,422A,95,Circle to Adenta Station,3
454B,454B,86,Circle to Osu Blow Up,3
990A,990A,36,Circle to SSNIT Flat Station,3
112A,112A,91,Achimota to Ashaiman Station,3
228A,228A,10,Accra CMB to Odorkor Station,3
156B,156B,26,Accra CMB to Alajo Taxi Rank,3
431A,431A,77,Circle Odorna Station to Korle Bu Station,3
419A,419A,48,Odorna Station to Agblezah Station,3
178B,178B,33,Kaneshie Mkt Cmplx to Bubiashie Control,3
227A,227A,10,Accra CMB to Manhean Station,3
196A,196A,69,Circle Lido to Kotobabi Down Station,3
210A,210A,97,Circle Near Las Palmas (PROTOA) to Teachers Hall,3
204B,204B,25,Osu Blow Up to Circle,3
387A,387A,15,New Town Station to Ashaley Botwe,3
088B,088B,21,Asofan Station to Achimota Station,3
523A,523A,63,Accra New Tema Station to Trade Fair,3
251B,251B,41,Accra Post Office to Darkuman Station,3
486A,486A,30,NULL,3
435B,435B,82,Kasoa Station to Odorkor Station,3
420A,420A,13,NULL,3
423A,423A,76,Odorna Station to Nima Overhead Station,3
265B,265B,55,Sukura Station to Kaneshie Mkt Cmplx,3
308B,308B,57,Accra CMB to Kotobabi Down Station,3
351A,351A,20,Legon Station to Dome Station,3
155A,155A,90,Kanashie Mkt Cmplx to Akoto Lante,3
278A,278A,52,Kanashie Mkt Cmplx to New Town Station,3
164B,164B,9,Kaneshie Mkt Cmplx to Arena Station,3
283A,283A,79,Kaneshie Mkt Cmplx to Makola Tudu,3
288B,288B,80,Swanlake Laststop to Kaneshie Mkt Cmplx,3
100A,100A,21,Achimota Station to Legon Station,3
424A,424A,48,Odorna Station to Nungua Station,3
401B,401B,70,Israel Station to Nima Overhead Station,3
249B,249B,41,Kaneshie Mkt Cmplx to Darkuman,3
410B,410B,70,Sukura Station to Nima Overhead Station,3
399B,399B,70,Achimota Station to Nima Overhead Station,3
542A,542A,89,Zongo Junction to Chorkor Station,3
256B,256B,43,Accra New Tema Station to Adjiringanor Station,3
265A,265A,55,Kaneshie Mkt Cmplx to Sukura Station,3
446A,446A,11,Opetekwei Station to Kaneshie Mkt Cmplx,3
535B,535B,99,Agbogbloshie Station No. 2 to Zamrara Line,3
522A,522A,55,Accra New Tema Station to Sukura Station,3
123B,123B,19,B to Achimota Station,3
090B,090B,18,Darkuman to Achimota Station,3
523B,523B,63,Trade Fair to Accra New Tema Station,3
406A,406A,70,Nima Overhead Station to Mallam Station,3
299B,299B,51,Abeka lapaz to Korle Bu Station,3
221B,221B,76,Madina Station to Circle Overhead (Maame Dokono),3
017A,017A,94,NULL,3
167B,167B,33,Kaneshie Mkt Cmplx to Atico,3
269A,269A,50,Kaneshie Mkt Cmplx to Bubiashie Station,3
270A,270A,90,Kaneshie Mkt Cmplx to Camara Station,3
267A,267A,51,Kaneshie Mkt Cmplx to Soko Station,3
029B,029B,4,Kaneshie Mkt Cmplx to Abeka Market station,3
028B,028B,0,Abeka Market station to Circle Near Las Palmas (PROTOA),3
076A,076A,21,Achimota to 37 Station,3
423B,423B,76,Nima Overhead Station to Odorna Station,3
244B,244B,36,New Tema Station to Dansoman Laststop,3
271B,271B,51,Chorkor Station to Kaneshie Mamprobi Station,3
266A,266A,92,Kaneshie Mkt Cmplx to Afropa,3
282A,282A,51,Kaneshie Mamprobi Station to Shalom Station,3
302B,302B,51,Kwashieman Station to Korle Bu Station,3
286A,286A,80,Kaneshie Mkt Cmplx to New Fadama,3
287A,287A,80,Kaneshie Mkt Cmplx to Old Melcom 2,3
274A,274A,52,Kaneshie Mkt Cmplx to Maamobi-Nima Terminal,3
275A,275A,52,Kaneshie Mkt Cmplx to Adenta Station,3
284A,284A,80,Kaneshie Mkt Cmplx to Agyapaye Station,3
520B,520B,90,Camara Station to Accra New Tema Station,3
035B,035B,0,Agape Station to Abeka lapaz,3
363B,363B,9,Kaneshie Mkt Cmplx to Mataheko New Russia Station,3
452B,452B,33,Kaneshie Mkt Cmplx to Orgle Road Station,3
455B,455B,86,Kaneshie Mkt Cmplx to Osu Blow Up,3
446B,446B,11,Kaneshie Mkt Cmplx to Opetekwei Station,3
291A,291A,83,Kaneshie Mkt Cmplx to Korle Bu Station,3
295A,295A,83,Kaneshie Mkt Cmplx to New Russia,3
296A,296A,83,Kaneshie Mkt Cmplx to Russia,3
437A,437A,82,Odorkor Station to Sakaman,3
271A,271A,51,Kaneshie Mamprobi Station to Chorkor Station,3
273A,273A,51,Kaneshie Mamprobi Station to Korle bu Station,3
276A,276A,51,Kaneshie Mamprobi Station to Mamponse Station,3
263B,263B,22,Haatso to Darkuman,3
380B,380B,3,Haatso to Abeka lapaz,3
038B,038B,0,Amasaman to Abeka lapaz,3
212A,212A,97,Circle Coporative Station to Accra New Tema Station,3
225B,225B,10,Fan Milk to Accra CMB,3
196B,196B,69,Kotobabi Down Station to Circle,3
314A,314A,58,Kwashieman Station to Achimota Station,3
309A,309A,57,Kotobabi Down Station to Circle Lido,3
345A,345A,57,Kotobabi Down Station to Achimota Station,3
308A,308A,57,Kotobabi Down Station to Accra CMB,3
055A,055A,67,Abeka lapaz to Osu Blow Up,3
100B,100B,21,Legon Station to Achimota Station,3
149A,149A,90,Agbogbloshie Station to Camara Station,3
307B,307B,57,37 Station to Kotobabi Down Station,3
096B,096B,21,Kotobabi Down Station to Achimota Station,3
307A,307A,57,Kotobabi Down Station to 37 Station,3
389A,389A,15,New Town Station to Madina Station,3
353A,353A,68,Legon Station to Social Welfare,3
099B,099B,19,Legon Station to Achimota Station,3
011B,011B,1,Circle to Abeka lapaz,3
318A,318A,58,Kwashieman Station to Madina Station,3
118B,118B,23,Nungua Station to Achimota Station,3
209A,209A,31,Circle Odorna Station to Swanlake Laststop,3
438B,438B,0,Accra New Tema Station to Odorkor Station,3
349A,349A,46,Abeka lapaz to Yellow House,3
344B,344B,46,Santa Maria to Abeka lapaz,3
456B,456B,86,Madina Station to Osu Blow Up,3
038A,038A,93,NULL,3
098B,098B,18,Abeka lapaz to Achimota Station,3
216B,216B,69,Abeka lapaz to Circle,3
039A,039A,67,Nyamekye to Aunti Eku Pallas Town,3
206A,206A,97,UTC Station to Osu RE,3
157B,157B,26,Circle Lido to Alajo Taxi Rank,3
274B,274B,52,Maamobi-Nima Terminal to Kaneshie Mkt Cmplx,3
222B,222B,76,Maamobi-Nima Terminal to Lido Terminal (Circle Overhead),3
414B,414B,0,Madina Station to Nima Overhead Station,3
102B,102B,21,Madina Station to Achimota Station,3
232B,232B,70,Madina Station to Accra CMB 2,3
389B,389B,15,Madina Station to New Town Station,3
397B,397B,0,Madina Station to Nima Overhead Station,3
357A,357A,69,Mallam Atta Station to Kotobabi Down Station,3
339B,339B,3,Madina Station to Abeka lapaz,3
367A,367A,0,New Fadama to Accra CMB,3
286B,286B,80,New Fadama to Kaneshie Mkt Cmplx,3
310A,310A,56,Kotobabi Down Station to Abeka lapaz,3
237B,237B,36,Anyah Station to Dansoman Laststop,3
103B,103B,21,Mallam Attah Station to Achimota Station,3
043B,043B,0,Kaneshie Mkt Cmplx to Abeka lapaz,3
239B,239B,36,Mallam Station to Dansoman Laststop,3
246B,246B,38,Mallam Station to Dansoman Laststop,3
303B,303B,51,Mallam Station to Korle Bu Station,3
463B,463B,98,Mamprobi to Accra Post Office,3
367B,367B,0,Accra CMB to New Fadama,3
385A,385A,15,New Town Station to 37 Station,3
226B,226B,0,Pig Farm Station to Kokomlemle,3
394A,394A,76,Nima Overhead Station to Ashaiman Station,3
395A,395A,76,Nima Overhead Station to Circle,3
067A,067A,8,NULL,3
414A,414A,74,Nima Overhead Station to Madina Station,3
417A,417A,74,Nima Overhead Station to Accra New Tema Station,3
434A,434A,82,Odorkor Station to Anyah Station,3
436A,436A,82,Odorkor Station to Official Town,3
013B,013B,94,Lido Terminal (Circle Overhead) to G,3
263A,263A,22,Darkuman to Haasto,3
254A,254A,7,Dzorwulu Station to Kokomlemle,3
438A,438A,82,Odorkor Station to Accra New Tema Station,3
415B,415B,0,Nyaho to Nima Overhead Station,3
002B,002B,87,Osu Blow Up to 37 Lorry Park,3
454A,454A,86,Osu Blow Up to Circle Odorna Station,3
455A,455A,86,Osu Blow Up to Kaneshie Mkt Cmplx,3
456A,456A,86,Osu Blow Up to Madina Station,3
208B,208B,97,Osu Blow Up to UTC Station,3
205B,205B,25,Osu RE to Circle,3
458A,458A,56,Pig Farm Station to Accra CMB,3
467A,467A,98,Rawlings Park to Blue Lagoon,3
442B,442B,84,Bawalashie to Okponglo Taxi Station,3
441A,441A,84,Okponglo Taxi Station to American House,3
004A,004A,2,Abeka lapaz to Ashaiman Station,3
470A,470A,88,Rawlings Park to Osu Penta,3
241B,241B,76,Bawalashie to Circle,3
081A,081A,21,Achimota Station to Adenta Station,3
400B,400B,70,Alajo Station to Nima Overhead Station,3
230A,230A,10,Accra CMB to Omanjor Station,3
404B,404B,70,Dome Railway Crossing to Nima Overhead Station,3
994A,994A,0,Rawlings Park to Chemuna Station,3
281B,281B,0,Russia to Kaneshie Mkt Cmplx,3
296B,296B,83,Russia to Kaneshie Mkt Cmplx,3
076B,076B,21,37 Station to Achimota Station,3
020B,020B,0,NULL,3
368A,368A,13,Accra New Tema Station to Abelemkpe Station,3
074A,074A,12,NULL,3
369A,369A,71,Accra New Tema Station to Agbogbloshie Station,3
017B,017B,94,NULL,3
536B,536B,0,Arena Station to Zamrara Line,3
321B,321B,58,NULL,3
020A,020A,45,NULL,3
421B,421B,95,Ashiaman Station to Circle Odorna Station,3
