trip_id,arrival_time,departure_time,stop_sequence,stop_id
002A_1,12:51:38,12:51:38,1,T5622
002A_1,13:01:28,13:01:28,2,S5624
002A_1,13:02:48,13:02:48,3,S3975
002A_1,13:03:43,13:03:43,4,S3974
002A_1,13:05:20,13:05:20,5,S5627
002A_1,13:05:55,13:05:55,6,S5628
002A_1,13:07:09,13:07:09,7,S5629
002A_1,13:08:43,13:08:43,8,S1069
002A_1,13:09:50,13:09:50,9,S5631
002A_1,13:10:58,13:10:58,10,T1442
002B_1,13:16:27,13:16:27,1,T1442
002B_1,13:23:18,13:23:18,2,S5635
002B_1,13:27:40,13:27:40,3,S1189
002B_1,13:30:25,13:30:25,4,S3989
002B_1,13:32:09,13:32:09,5,S3986
002B_1,13:33:32,13:33:32,6,S1188
002B_1,13:34:47,13:34:47,7,S1187
002B_1,13:38:10,13:38:10,8,S5641
002B_1,13:39:22,13:39:22,9,S5642
002B_1,13:42:07,13:42:07,10,S5644
002B_1,13:44:40,13:44:40,11,T5622
003A_1,13:51:37,13:51:37,1,T5622
003A_1,14:31:24,14:31:24,2,S5784
003A_1,14:32:21,14:32:21,3,S5785
003A_1,14:33:10,14:33:10,4,S5786
003A_1,14:34:46,14:34:46,5,S5788
003A_1,14:37:13,14:37:13,6,S5789
003A_1,14:38:16,14:38:16,7,S5790
003A_1,14:39:27,14:39:27,8,S5791
003A_1,14:41:27,14:41:27,9,S5793
003A_1,14:43:00,14:43:00,10,S5794
003A_1,14:43:40,14:43:40,11,S5795
003A_1,14:44:11,14:44:11,12,S5796
003A_1,14:45:08,14:45:08,13,T5797
003B_1,15:28:50,15:28:50,1,T5797
003B_1,15:35:55,15:35:55,2,S5800
003B_1,15:38:48,15:38:48,3,S5801
003B_1,15:46:00,15:46:00,4,S5802
003B_1,15:46:48,15:46:48,5,S5803
003B_1,15:47:46,15:47:46,6,S5805
003B_1,15:51:47,15:51:47,7,S5807
003B_1,15:55:50,15:55:50,8,T5622
004A_1,13:22:52,13:22:52,1,T0
004A_1,13:41:12,13:41:12,2,S5904
004A_1,13:43:01,13:43:01,3,S5905
004A_1,13:44:07,13:44:07,4,S5906
004A_1,13:47:21,13:47:21,5,S719
004A_1,14:02:31,14:02:31,6,S5908
004A_1,14:09:22,14:09:22,7,T679
004B_1,14:16:47,14:16:47,1,T680
004B_1,15:03:14,15:03:14,2,S5912
004B_1,15:07:45,15:07:45,3,S684
004B_1,15:16:25,15:16:25,4,T0
005A_1,6:38:31,6:38:31,1,T0
005A_1,7:46:34,7:46:34,2,S2
005A_1,7:49:29,7:49:29,3,S3
005A_1,7:56:37,7:56:37,4,S4
005A_1,8:17:18,8:17:18,5,S5
005A_1,8:26:59,8:26:59,6,S6
005A_1,8:51:56,8:51:56,7,T7
005B_1,8:54:42,8:54:42,1,T7
005B_1,9:05:22,9:05:22,2,S10
005B_1,9:13:46,9:13:46,3,S11
005B_1,9:15:46,9:15:46,4,S12
005B_1,9:21:37,9:21:37,5,S13
005B_1,9:26:13,9:26:13,6,S14
005B_1,9:32:02,9:32:02,7,S15
005B_1,9:36:51,9:36:51,8,S17
005B_1,9:42:15,9:42:15,9,S19
005B_1,9:56:24,9:56:24,10,T0
006A_1,12:46:31,12:46:31,1,T0
006A_1,13:10:27,13:10:27,2,S6095
006A_1,13:14:41,13:14:41,3,S6097
006A_1,13:17:41,13:17:41,4,S6098
006A_1,13:18:57,13:18:57,5,S6099
006A_1,13:20:18,13:20:18,6,S6100
006A_1,13:21:38,13:21:38,7,S3630
006A_1,13:23:04,13:23:04,8,S6102
006A_1,13:26:02,13:26:02,9,S6104
006A_1,13:27:12,13:27:12,10,S6105
006A_1,13:29:20,13:29:20,11,T5548
006B_1,13:35:29,13:35:29,1,T5548
006B_1,13:46:45,13:46:45,2,S6109
006B_1,13:47:41,13:47:41,3,S6110
006B_1,13:55:37,13:55:37,4,S6111
006B_1,13:58:03,13:58:03,5,S6112
006B_1,14:02:09,14:02:09,6,S6113
006B_1,14:11:27,14:11:27,7,S6115
006B_1,14:12:50,14:12:50,8,S6116
006B_1,14:20:27,14:20:27,9,S6117
006B_1,14:28:35,14:28:35,10,S732
006B_1,14:30:58,14:30:58,11,S684
006B_1,14:33:49,14:33:49,12,T0
007A_1,14:45:35,14:45:35,1,T0
007A_1,15:01:55,15:01:55,2,S6144
007A_1,15:06:21,15:06:21,3,S696
007A_1,15:08:32,15:08:32,4,S700
007A_1,15:10:15,15:10:15,5,T702
007B_1,15:11:15,15:11:15,1,T702
007B_1,15:16:58,15:16:58,2,S6150
007B_1,15:19:28,15:19:28,3,S6151
007B_1,15:25:32,15:25:32,4,S6153
007B_1,15:31:03,15:31:03,5,S6155
007B_1,15:36:46,15:36:46,6,S19
007B_1,15:42:43,15:42:43,7,S3730
007B_1,15:45:08,15:45:08,8,T0
008A_1,10:07:28,10:07:28,1,T0
008A_1,10:38:22,10:38:22,2,S6162
008A_1,10:39:21,10:39:21,3,S6164
008A_1,10:39:52,10:39:52,4,S6164
008A_1,10:42:21,10:42:21,5,S6165
008A_1,10:44:14,10:44:14,6,S6166
008A_1,10:47:01,10:47:01,7,S6167
008A_1,10:48:20,10:48:20,8,S725
008A_1,10:49:41,10:49:41,9,S726
008A_1,11:01:05,11:01:05,10,T6170
008B_1,12:10:17,12:10:17,1,S5912
008B_1,12:16:31,12:16:31,2,S6173
008B_1,12:19:35,12:19:35,3,S6174
008B_1,12:24:15,12:24:15,4,T0
009A_1,14:18:38,14:18:38,1,T0
009A_1,14:38:57,14:38:57,2,S5435
009A_1,14:45:04,14:45:04,3,S415
009A_1,14:47:18,14:47:18,4,S417
009A_1,14:49:44,14:49:44,5,S630
009A_1,14:52:08,14:52:08,6,S6184
009A_1,14:53:52,14:53:52,7,S346
