stop_id,stop_name,stop_lat,stop_lon
S4842,Junction 1,5.563419819,-0.152562007
S1001,Total 447,5.535621166,-0.22892572
S3829,Water Works 406,5.580180168,-0.276890993
T208,Terminal Accra Zongo Lane,5.544865131,-0.209994003
T1471,Terminal Ridge Hospital,5.562654972,-0.200297497
T75,Terminal Kaneshie Mkt Cmplx,5.565071583,-0.235920743
S5047,Fadama,5.597300053,-0.253847003
S3283,School Junction 351,5.647240162,-0.235319003
S27,College,5.583373547,-0.208371326
S4711,Ribero,5.555519581,-0.247164488
T6203,Terminal Adeiman,5.712975025,-0.369089007
S109,Sakaman Junction,5.576340199,-0.274154007
S6174,Mambolino,5.608769894,-0.242232993
S3424,Thirty Seven Station,5.586329937,-0.207726002
S3351,Container 363,5.560550213,-0.254512995
S2363,Masalachi 263,5.598390102,-0.254556
S4713,Station 538,5.550590038,-0.249190003
S4120,Odorna Market,5.564640045,-0.216955006
S4323,Abossey Okai Asoredanho,5.56137991,-0.238771006
S14,Pokuase Junction,5.687701225,-0.281836122
S5885,Big Boss,5.570919991,-0.232334003
S6116,First Boutique,5.631959915,-0.140616998
S6065,Chop Bar 999,5.619019985,-0.276677012
T3062,Terminal Auntie Aku station,5.611879826,-0.284744993
S2945,Polytechnic,5.553949833,-0.204832003
S6258,Zodiac 1,5.559239864,-0.262387007
S4319,Salvation 2,5.541079998,-0.239353493
S2280,Curve 082,5.651889801,-0.129292995
T4518,Terminal Blue Lagoon,5.57123518,-0.272288501
S880,Nyamekye 2,5.602376938,-0.258795887
S4858,Total 523,5.55080986,-0.182596996
S4156,Labadi,5.563149929,-0.144141003
S620,Taifa Junction,5.648349762,-0.251258492
S5108,Curve 1 995,5.555580139,-0.244186997
T1442,Terminal Osu Blow Up,5.553462029,-0.1841815
S5248,Market 2,5.643690109,-0.237909004
S1269,Old Station 177,5.580459595,-0.2397075
S5998,Mosque,5.652969837,-0.258738995
S3649,Paloma,5.572034836,-0.205867007
S98,Brigade 064,5.541069984,-0.394706011
S6200,Donu Last Stop,5.720149994,-0.365595013
S3393,Kanda Overhead,5.577040195,-0.197044998
S633,Gaogao,5.757329941,-0.323606014
S4625,China Town,5.525559902,-0.258864999
S2952,Overhead 311,5.572309971,-0.213443995
S5320,Junction 216,5.598629951,-0.233850002
S727,Curve 116,5.644915104,0.003327
S1191,First Stop 416,5.549660206,-0.189749002
S5850,Dome New Station,5.658939838,-0.237318993
T470,Terminal Kotobabi Down Station,5.595905304,-0.20917065
T3285,Terminal Dome Station,5.641294956,-0.240016505
S150,Tabora Junction,5.618040085,-0.261530012
S5141,Circle Overhead 996,5.571320057,-0.213171005
S5126,Fire Service 521,5.531889915,-0.217129007
S3313,AMA (Abelemkpe),5.612770081,-0.221196994
S480,Flat Top,5.609479904,-0.238153502
S3584,VIP Station,5.56840992,-0.219678
S6102,Total 006,5.627649784,-0.087026902
S342,Fise - CWC,5.692989826,-0.288713008
S1816,Police Station 235,5.544209957,-0.264591008
S17,Tantra,5.640600204,-0.248839006
S1339,Total 186,5.585773468,-0.207877323
S5417,Spot M,5.550960064,-0.330206007
T3110,Terminal Accra Novotel,5.553909779,-0.204904005
S1336,Police Station 400,5.592386246,-0.204242751
S913,St. Mary's/Barber,5.536809921,-0.223590001
S3137,Flower Top,5.609570026,-0.238115996
S108,Filling Station,5.551469803,-0.32851401
S2403,Borla Junction 1,5.55112505,-0.247495502
S4526,Kaajano,5.554890156,-0.170581996
S80,Blue Kiosk 043,5.593450069,-0.233257994
S4552,Osu Presbyterian Church,5.553349972,-0.184591994
S1877,Police Station 235,5.543746948,-0.264573336
S3170,Taborah,5.61935997,-0.261900008
S5881,Grey hand,5.579269886,-0.228223994
S3672,Baatsona,5.624790192,-0.075638004
T3193,Terminal Lomnava Station,5.63572979,-0.278678
S3106,Kanda Overhead,5.577030182,-0.197106004
S504,Kissehman,5.637390137,-0.213177994
S1748,Glory Land,5.578239918,-0.257660002
S4002,Roundabout 417,5.57614994,-0.196987003
S1854,Bridge (Camara),5.536799908,-0.255804002
S4699,Happy Kids,5.555860043,-0.233351007
S242,Tesano,5.604215145,-0.225658998
S3055,Addy Junction,5.587299824,-0.265579998
S4172,Abrantie,5.588779926,-0.282139987
T133,Terminal Accra Taxi Rank,5.54820013,-0.204589501
S5315,Market 014,5.563879967,-0.211168006
S3362,Primary School,5.598999977,-0.247816995
S904,Broadcasting,5.552283287,-0.358759671
S2282,Obinim,5.673240185,-0.127177998
S5347,Police Station 015,5.674620152,-0.240916997
S414,ACP,5.68397665,-0.277105659
S5786,AMA (La),5.574480057,-0.146607995
S1655,First Yellow Shop,5.626820087,-0.298088998
S1199,North Kaneshie Junction,5.588620186,-0.233687997
S1154,Shell Filling Station 463,5.533750057,-0.237963334
S5699,Downtown,5.700660229,-0.207142994
S2407,Seven Great 265,5.557549953,-0.244495004
S749,Action Church,5.625219822,-0.170151994
S1845,IBE,5.53888464,-0.248294488
S2052,Roundabout 240,5.557059765,-0.264800519
S4153,Cold Store 428,5.59566021,-0.111961
S601,Okaiman Junction,5.728539944,-0.275866985
T4566,Terminal Alhaji Station,5.52897501,-0.247001499
S2943,Ridge 311,5.56406498,-0.201824009
S4714,Market 995,5.552393436,-0.251107991
S5631,School Junction 002,5.554979801,-0.183329001
S3527,Pre Sec,5.661870003,-0.178328499
S97,Allaboyeh,5.543230057,-0.390143007
S1579,Zongo Junction 422,5.678090096,-0.173287004
S1796,Lapaz (after traffic light),5.607319832,-0.246967003
T232,Terminal Achimota,5.62116909,-0.226021721
S642,Block Factory 105,5.755249977,-0.334529996
S5628,SSNIT 002,5.562849998,-0.181647003
S2949,Tigo 420,5.558199883,-0.205673993
T3790,Terminal Dome Railway Crossing,5.647005081,-0.236328997
S3760,Kwashieman 402,5.589834213,-0.269603997
S2825,Filling Station,5.551010132,-0.330244005
S167,Station 1 070,5.646810055,-0.134474993
S3980,Roundabout 416,5.576300144,-0.177893996
S5918,CP 050,5.577000141,-0.295888007
S3305,UPS,5.659800053,-0.166830003
S5946,Odooma Junc.,5.64056015,-0.334663004
S3601,Club Thousand,5.596109867,-0.200382993
S172,Roadside 070,5.645810127,-0.140532002
S1441,State House,5.557149887,-0.194644004
S509,Kissehman,5.637416363,-0.213015333
S4301,Abogye,5.535200119,-0.241969004
S6091,Eastwood Anaba Ministries junction,5.60863018,-0.216588005
S6109,Roadside 006,5.625040054,-0.076491997
S1815,Control,5.546485901,-0.264636278
S4904,Akoshie,5.53910017,-0.247424006
S282,Masalachi 081,5.675745487,-0.173580661
S5312,Makola,5.547369957,-0.207106993
S3361,Borla Junction 366,5.597159863,-0.245171994
T5548,Terminal Sakumono station,5.622636795,-0.069476999
S4664,Curve 2 485,5.542850018,-0.248565003
S512,University Primary,5.6426301,-0.189873993
S2351,Achimota Forest,5.620979786,-0.223636001
S1643,Station 224,5.595300198,-0.216836005
S1237,Curve 175,5.571499825,-0.232557997
S5423,Washing Bay 114,5.536640167,-0.407063991
S6206,Passengers on Board,5.712989807,-0.369120002
S6060,VRA 058,5.631239891,-0.295163989
S2731,T Garden 542,5.52753973,-0.242209002
S765,C5,5.597976685,-0.082133003
S950,Curve 146,5.556436539,-0.251239657
S2436,Bridge 267,5.542729855,-0.247437999
S4683,Korle Bu Junction 2,5.54321003,-0.241542995
S5400,Bortianor,5.547969818,-0.34867999
S4438,Police Hospital,5.568049908,-0.180698007
S783,Pig Farm Junction,5.601769924,-0.198541999
S151,Darkuman Accra Station,5.590994835,-0.252222002
S5842,T Junc. Down,5.627180099,-0.251670986
T5561,Terminal Abeka Station near Market,5.600880146,-0.239247993
S3545,Work Shop,5.685989857,-0.148166001
S3609,Shell 274,5.579490185,-0.199789003
T136,Terminal Nima Overhead Station,5.581369877,-0.198538361
S3065,Auntie Aku Junction,5.611010075,-0.279626012
S2702,Greenhand,5.582099915,-0.230398998
S6040,Appiah,5.61262989,-0.268952996
S6014,Danquah 055,5.567059994,-0.182639003
S1379,Kasadjan 1,5.585800171,-0.225481004
S3641,Road Side 394,5.601349831,-0.193591997
S3991,VRA 416,5.548810005,-0.194680005
S3147,Haatso Station,5.666994572,-0.204696998
S805,School Junction 120,5.689865112,-0.196281999
S949,Paa Willie,5.559485912,-0.25188759
S4749,Tabora Junction 2,5.621490002,-0.262739986
S4769,Awoste Kojo,5.53482008,-0.232887
S5502,CPF,5.626999855,-0.250205994
S896,Galilee,5.52658987,-0.246067002
S719,Ashiaman Overhead,5.682323456,-0.025063001
S6155,Tantra Hill,5.642839909,-0.249009997
S2364,Mambo 263,5.595769882,-0.252988011
S564,Pig Farm Down,5.598287582,-0.198231503
S375,Soldier Line,5.657149792,-0.280007988
S6104,18 Junction,5.624879837,-0.075810999
S3092,Santa Maria,5.605669975,-0.275815994
S1630,New Town 223,5.632319927,-0.314655989
S3926,Jack and Jill School,5.601980209,-0.189218
S803,Agboba,5.691740036,-0.198557004
S2938,Alajo Taxi Rank,5.598450184,-0.217003003
S4395,Sakora Junction 452,5.5791502,-0.234042004
S2380,Kofi Ne Ama,5.533120155,-0.265282005
S3278,Road Side 351,5.638549805,-0.218404993
T2596,Terminal C,5.530950069,-0.250330001
S1672,Borko Borko Junc.,5.628855228,-0.320111513
S160,Baywa,5.642350197,-0.161911994
T1288,Terminal Bubiashie Control,5.576954842,-0.2421275
T3757,Terminal Awoshie Station,5.596876621,-0.290092001
S1101,Goil 165,5.573400021,-0.249827996
S1738,Mambo 230,5.631010056,-0.285228014
S3070,Blue Kiosk 409,5.59945488,-0.272671491
S4932,Sukura Station,5.550614834,-0.249291509
S2171,Toyota 251,5.558050156,-0.222724006
S4388,Akutu Junction,5.568669796,-0.237085
S3884,Total 302,5.558130264,-0.231280327
S552,Abavana,5.59469986,-0.202178404
S2437,Radio Gold 995,5.548250198,-0.240151569
S4346,Ebenezer,5.52947998,-0.27015999
S5117,Taxi Rank 995,5.552529812,-0.249695003
S217,Circle Bus Stop,5.572816849,-0.216403663
S981,Palladium,5.541055202,-0.215388998
T2415,Terminal Afropa,5.590310097,-0.247191995
S5863,High Tension,5.61909008,-0.250019014
S2591,Loui Joe,5.536389828,-0.241166994
S3856,Kata,5.602069855,-0.259981006
S2018,Puplampu,5.632920265,-0.172707006
S69,Roadside 043,5.586800098,-0.241905004
S1699,NIC,5.614449978,-0.295964003
S2294,Two-O-Five,5.531944752,-0.253713012
S5332,School Junction 015,5.641910076,-0.238675997
S1381,Railway,5.580049992,-0.219768003
S5868,First Junc 029,5.597720146,-0.233747005
S1322,T Garden 521,5.526979923,-0.241652489
T5985,Terminal Mayera last stop,5.735089779,-0.27200301
S533,Adenta 2nd,5.667920113,-0.176650003
S5577,Railways,5.548930168,-0.210490003
S1077,Labone Junction 163,5.56344986,-0.172362998
S984,Nana Apaa,5.538320065,-0.216593996
S280,Firestone,5.671006203,-0.175265402
S5606,First Junction 029,5.596570015,-0.233335003
S3732,Nii BoiMan Station,5.60901022,-0.245757997
S3622,Junction 393,5.564519882,-0.201869994
S993,Mangoase 270,5.535639763,-0.252672344
S3386,New Town 37 Station,5.586679935,-0.206308007
S5519,Taxi Rank 311,5.592100143,-0.205401003
T212,Terminal Agege,5.529476643,-0.263656164
S3370,Nkwadum Junction,5.571181774,-0.229917496
S6192,Akotoshie,5.747900009,-0.34542501
S2515,Masalachi Second,5.581600189,-0.198678002
S4824,Pipe-Ena,5.553750038,-0.240173995
S222,Roxy,5.556745052,-0.212108001
T1184,Terminal Cantonments Station,5.577879906,-0.170826669
S2650,Martyrs Of Uganda,5.532989979,-0.237516001
S2340,Achimota Village,5.635719776,-0.214421004
S5828,Atta mills,5.658919811,-0.269663006
S529,Westlands,5.639160156,-0.209328994
S3751,Kwashieman 402,5.594586849,-0.266508341
S2810,Barclays,5.579430103,-0.228456005
S3778,First Gate 403,5.55284977,-0.214783996
S761,Mobil 118,5.579100132,-0.106559999
S2143,Quarters 306,5.582530022,-0.25157401
S1704,Station 378,5.586949825,-0.279446989
S15,Ofankor Barrier,5.657464981,-0.265434742
S1463,Parliament,5.555500031,-0.192822993
S1925,Asore Danho 264,5.570413113,-0.255351663
S1713,MMT Station,5.566999912,-0.238729
S1716,Atico,5.57404995,-0.250358999
S5300,Road Side 014,5.607110023,-0.246335998
T893,Terminal Chemuna Station,5.526189804,-0.250590857
S1582,Atomic Second,5.666510105,-0.177471995
S5972,ACP,5.667699814,-0.270334005
S868,Market 999,5.62018013,-0.276869982
S5687,Bridge 377,5.646259785,-0.210535005
S5527,Pro Credit,5.577670097,-0.212026
S500,Roundabout (Near Legon Gymnasium),5.640230179,-0.183387995
S116,Mangoase 065,5.586239815,-0.248294994
S6054,Taxi Rank 058,5.611820221,-0.268121004
T370,Terminal Asofan Station,5.654497623,-0.285153255
S3427,Tigo 331,5.557455063,-0.205655992
S2262,Airport Second,5.604640007,-0.178083003
S2149,Overhead 248,5.555500031,-0.219348997
S748,Animal husbandry,5.66091013,-0.075669996
S877,Kwashieman Station,5.593194962,-0.268802524
S1881,Maa Mercy,5.554500103,-0.264533997
S1052,Bodesh,5.596360207,-0.209834993
S1961,Chabaa,5.574834824,-0.276831508
S2790,Total 013,5.598739624,-0.2342415
S3394,Tigo 331,5.556359768,-0.205568001
S3282,Crossing,5.645929813,-0.234602004
S5389,Hong kong 017,5.601210117,-0.261182994
S1726,Pamprom 2,5.562600136,-0.231636003
S2632,Curve 146,5.556809902,-0.251152009
S5448,Toll booth,5.734089851,-0.313854992
S4280,Las Palmas,5.528759956,-0.264537007
S605,Osofoiaman,5.721690178,-0.279089987
S2852,Busia Junction,5.578380108,-0.27046901
S5289,Abeka Junction,5.598849773,-0.227821007
S5585,Old Melcom 2,5.587870121,-0.226754993
S1776,First Light 2,5.569280148,-0.242896006
S1097,Darkuman 302,5.577340126,-0.255652994
S2735,T Garden 542,5.528049946,-0.242294997
S1857,Exhibition Roundabout,5.537409782,-0.262102991
S4929,Station 538,5.550230026,-0.254437
S5791,Anofu,5.577960014,-0.139881998
T597,Terminal Adusa Quarters,5.734984875,-0.2720135
S5510,Asantewaa,5.579470158,-0.210663006
S976,Never Busy Bus Stop,5.649409771,0.023031
S3951,Jinlet Pharmacy,5.616789818,-0.182133004
S1792,Ave Maria,5.564664841,-0.267960489
S1133,MMT,5.564499855,-0.23443
S2375,Sahara 2,5.549789906,-0.264625996
S1585,Okponglo 221,5.639837742,-0.178143203
T1401,Terminal New Melcom,5.584670067,-0.221954994
T5242,Terminal B,5.657599926,-0.237396002
S4948,Cold Store 538,5.549574852,-0.255196512
S1277,"Roundabout, St. Theresa",5.572140217,-0.230822995
S1368,Kokomlemle Station,5.580339909,-0.220456004
S4254,Bawalashi 2nd,5.642199993,-0.164136007
T768,Terminal Nungua Station,5.602173805,-0.079274124
S5812,Bridge 041,5.635580063,-0.250694007
S68,School Junction 043,5.589819908,-0.243494004
S1062,Labone Junction 163,5.563980103,-0.172132999
T21,Terminal Abeka Market station,5.600393295,-0.238629167
S825,Achimota School,5.622560024,-0.219181001
T1215,Terminal Ayigbe Town,5.583000183,-0.240306005
S456,Drug Store 095,5.628590107,-0.247426003
S4670,Soko,5.545259953,-0.249432996
S766,Bank ADB (Nungua),5.600536823,-0.080138333
S2070,Light House 243,5.563010216,-0.265973985
S3715,Junction 400,5.588900089,-0.196539
S73,School Junction 492,5.570580006,-0.237598002
S346,Sarpeima Last Stop,5.72563982,-0.311227679
S312,American House Bridge,5.646850109,-0.154267997
S5949,Alavanyo,5.642610073,-0.341553986
S3899,Roadside 410,5.54982996,-0.255557001
S3813,Abelemkpe,5.609445095,-0.210431501
S1076,Junction 163,5.566239834,-0.184642002
S206,Kingsway,5.552005768,-0.210928008
S5712,Flower Pot 380,5.65831995,-0.207124501
S4876,Abolo Junction,5.540919781,-0.253389001
S2510,Gutter,5.588359833,-0.196567342
S4168,VIP,5.568359852,-0.220293
S3252,Nii Boi Station,5.608200073,-0.245400995
S4016,Noble,5.611979961,-0.123672999
S3629,Glory Oil,5.636109829,-0.102802999
S1117,Junction 166,5.555290222,-0.254702002
S5420,Dam,5.55121994,-0.369525999
S2463,Camara 270,5.535980225,-0.253683001
S4042,Ghana Blind Union,5.561530113,-0.205927998
S4855,Jokers,5.557310104,-0.165013
S590,Agboji,5.717919827,-0.281652987
S4806,Bridge 521,5.526350021,-0.249096006
S1007,Galloway,5.547564983,-0.217718005
S1220,Asore Danho 175,5.582900047,-0.241666004
S4707,Pennywise,5.552299976,-0.235088006
S3027,Ashiaman Overhead,5.682409763,-0.025575999
S1267,Junction 176,5.578999996,-0.238886997
S2263,Opeibea,5.597959995,-0.179532006
S5817,Barrier Station,5.657830238,-0.267935008
S1592,GBC,5.573400021,-0.192669496
S570,Abelemkpe,5.608970165,-0.216542006
S152,Obetsebi Roundabout,5.562355042,-0.228567004
T1043,Terminal Circle,5.569321632,-0.215880743
S6201,Kwashiekumah,5.715149879,-0.361552
S4329,Ayalolo,5.532159805,-0.248302996
S1633,Cemetery Junction,5.565539837,-0.225344002
S645,Gaogao,5.75714016,-0.323659003
S779,Home Touch,5.586850166,-0.169522002
S2254,Bawaleshie 2nd,5.641849995,-0.167061999
S706,Post Office 007,5.65117979,-0.251060992
T5735,Terminal Last stop,5.600629807,-0.292167991
S4398,Good Sheperd,5.584060192,-0.236330003
S396,No Visa,5.656040192,-0.220879003
S2442,Bubuashie Roundabout,5.57118988,-0.237531006
S5479,Market 020,5.600810051,-0.239129007
S2410,Junction 265,5.562250137,-0.237481996
S380,Spot M,5.652914047,-0.258609802
S457,Curve 095,5.625020027,-0.245709002
S6188,Sumsum Junction,5.753520012,-0.321182996
S3323,Pig Farm Down,5.599884987,-0.197266504
S1319,Korle Bu Junction 185,5.529160023,-0.228612006
S1623,Ablekuma Park,5.629380226,-0.312420994
T1497,Terminal Circle Near Las Palmas (PROTOA),5.569534779,-0.218609501
S4001,Second Gate 417,5.564189911,-0.201407999
S2451,Zongo Junction 166,5.556610107,-0.240196005
S4122,Addoemi,5.580319881,-0.107694
S3300,Book Trust,5.659780025,-0.168815002
S1015,UTC (Agbado),5.538559914,-0.215259999
S4085,Nima Roundabout 996,5.57738018,-0.200804502
S3340,T-Junction 1,5.567090034,-0.252568007
S1583,IPS Junction,5.659009933,-0.178967997
S588,Alosom,5.715879917,-0.283163995
S1887,Blue Lagoon,5.571700096,-0.272453487
T1895,Terminal Anyaa Market Station,5.59841013,-0.290522993
S6068,Container 058,5.609149933,-0.264012009
T5668,Terminal Agape Station,5.609200001,-0.329638004
S6025,Baypot,5.576010227,-0.208750993
S4686,Curve 2,5.542880058,-0.248567
S5667,Jerico,5.608829975,-0.325556993
S1320,White House 473,5.527582169,-0.236279398
S1358,Orgle Road,5.583920002,-0.234007999
S3833,Abeka Lapaz Station,5.607039928,-0.247778997
S1660,Banyard 2,5.582540035,-0.275519013
S2443,Block Factory 269,5.577330112,-0.238580003
S5688,Westland Junction,5.649909973,-0.209913999
S4638,Filling Station 535,5.547755241,-0.217776999
S4322,Flamingo 4,5.557779789,-0.239874005
S2334,Nyamekye,5.599860191,-0.255145997
S1689,Oduman,5.640439987,-0.334289014
S5099,Masalachi 994,5.528530121,-0.231544003
S3301,Estate 353,5.664470196,-0.159881994
S4851,Police Station 523,5.561510086,-0.152856007
S1464,Ridge Hosp. Taxi Rank,5.562494755,-0.200597003
S262,Champion,5.562339783,-0.210800007
T2187,Terminal Dzorwulu Station,5.617263317,-0.194658332
S427,Roundabout 094,5.657139778,-0.265024006
S5665,Agape Top Station,5.61262989,-0.314969987
S1240,Cottage,5.573880196,-0.238067999
T2196,Terminal Kokomlemle,5.573569775,-0.214977752
S3919,Legon Second 414,5.651949883,-0.180162996
S3022,Ghacem 321,5.634940147,0.005061
S5811,Washing Bay 1,5.633369923,-0.250905991
S5730,Ordorgornor school,5.589109898,-0.281928003
S4121,Labadi 1,5.560420036,-0.147723004
S4013,Masalachi 419,5.595069885,-0.122557998
S1594,Nima Police,5.573180199,-0.201092005
S5361,Ofankor Barrier,5.657820225,-0.265154988
S4797,Ama Mensah,5.528789997,-0.230493993
S4190,SCC,5.547476768,-0.338927656
T2695,Terminal North Industrial Area,5.586589813,-0.228472993
S3623,Road Side - Switzerland Embassy,5.568490028,-0.200766996
S1474,Mr. Biggs,5.56757021,-0.213321999
S660,Agyaeba,5.672190189,-0.271890014
S5572,Circle Coporative Station,5.567599773,-0.215100005
S3726,Market 401,5.627520084,-0.259274006
S711,Saint John's,5.640029907,-0.243607
S596,Block Factory Adusa,5.732335091,-0.272846013
S3888,Flamingo 3,5.557970047,-0.246512994
S4663,Adonteng,5.542779922,-0.246677995
T202,Terminal New Town Timber Market,5.583436489,-0.208276336
S6081,Museum,5.56125021,-0.206132993
S3975,Prisons 002,5.570594788,-0.180332005
S2276,Bridge 256,5.645780087,-0.144767001
S5203,John Teye 1,5.668900013,-0.271105498
S1537,Streetlight,5.599820137,-0.237550005
S100,Market 140,5.538506508,-0.400461674
S1698,Nsufa,5.617549896,-0.294488013
S5677,Up Town,5.617710114,-0.310532987
S2232,Opeibea Second,5.600689888,-0.178533003
S4097,Labadi,5.563270092,-0.143213004
S759,Lascala,5.57806015,-0.109798662
