route_id,service_id,trip_id,shape_id
018A,service,018A_1,1001
005A,service,005A_1,2001
005B,service,005B_1,3001
016A,service,016A_1,4001
016B,service,016B_1,5001
029A,service,029A_1,6001
029B,service,029B_1,7001
030A,service,030A_1,8001
030B,service,030B_1,9001
031A,service,031A_1,10001
031B,service,031B_1,11001
036A,service,036A_1,12001
036B,service,036B_1,13001
039A,service,039A_1,14001
043A,service,043A_1,15001
043B,service,043B_1,16001
048A,service,048A_1,17001
048B,service,048B_1,18001
050A,service,050A_1,19001
050B,service,050B_1,20001
058A,service,058A_1,21001
058B,service,058B_1,22001
064A,service,064A_1,23001
064B,service,064B_1,24001
065A,service,065A_1,25001
065B,service,065B_1,26001
066A,service,066A_1,27001
066B,service,066B_1,28001
067A,service,067A_1,29001
067B,service,067B_1,30001
070A,service,070A_1,31001
070B,service,070B_1,32001
071A,service,071A_1,33001
071B,service,071B_1,34001
072A,service,072A_1,35001
072B,service,072B_1,36001
074A,service,074A_1,37001
075A,service,075A_1,38001
076A,service,076A_1,39001
078A,service,078A_1,40001
078B,service,078B_1,41001
079A,service,079A_1,42001
080A,service,080A_1,43001
080B,service,080B_1,44001
081A,service,081A_1,45001
081B,service,081B_1,46001
082B,service,082B_1,47001
084A,service,084A_1,48001
084B,service,084B_1,49001
085B,service,085B_1,50001
088A,service,088A_1,51001
088B,service,088B_1,52001
090A,service,090A_1,53001
093A,service,093A_1,54001
093B,service,093B_1,55001
094A,service,094A_1,56001
094B,service,094B_1,57001
095A,service,095A_1,58001
095B,service,095B_1,59001
099A,service,099A_1,60001
099B,service,099B_1,61001
100A,service,100A_1,62001
100B,service,100B_1,63001
102A,service,102A_1,64001
102B,service,102B_1,65001
103A,service,103A_1,66001
103B,service,103B_1,67001
104B,service,104B_1,68001
105A,service,105A_1,69001
105B,service,105B_1,70001
107A,service,107A_1,71001
107B,service,107B_1,72001
010A,service,010A_1,73001
010B,service,010B_1,74001
112B,service,112B_1,75001
114A,service,114A_1,76001
114B,service,114B_1,77001
117A,service,117A_1,78001
118B,service,118B_1,79001
011A,service,011A_1,80001
120A,service,120A_1,81001
120B,service,120B_1,82001
121A,service,121A_1,83001
121B,service,121B_1,84001
122A,service,122A_1,85001
123A,service,123A_1,86001
012A,service,012A_1,87001
013B,service,013B_1,88001
140A,service,140A_1,89001
143A,service,143A_1,90001
143B,service,143B_1,91001
144B,service,144B_1,92001
146A,service,146A_1,93001
146B,service,146B_1,94001
147A,service,147A_1,95001
149A,service,149A_1,96001
149B,service,149B_1,97001
014A,service,014A_1,98001
014B,service,014B_1,99001
155A,service,155A_1,100001
155B,service,155B_1,101001
156A,service,156A_1,102001
157A,service,157A_1,103001
157B,service,157B_1,104001
159A,service,159A_1,105001
159B,service,159B_1,106001
015A,service,015A_1,107001
163A,service,163A_1,108001
163B,service,163B_1,109001
164A,service,164A_1,110001
164B,service,164B_1,111001
165A,service,165A_1,112001
165B,service,165B_1,113001
166A,service,166A_1,114001
166B,service,166B_1,115001
167A,service,167A_1,116001
167B,service,167B_1,117001
170A,service,170A_1,118001
170B,service,170B_1,119001
172B,service,172B_1,120001
173A,service,173A_1,121001
174A,service,174A_1,122001
174B,service,174B_1,123001
175B,service,175B_1,124001
176A,service,176A_1,125001
176B,service,176B_1,126001
177A,service,177A_1,127001
177B,service,177B_1,128001
178A,service,178A_1,129001
178B,service,178B_1,130001
185B,service,185B_1,131001
186A,service,186A_1,132001
186B,service,186B_1,133001
188A,service,188A_1,134001
188B,service,188B_1,135001
192A,service,192A_1,136001
192B,service,192B_1,137001
193A,service,193A_1,138001
193B,service,193B_1,139001
196A,service,196A_1,140001
196B,service,196B_1,141001
200A,service,200A_1,142001
200B,service,200B_1,143001
201A,service,201A_1,144001
201B,service,201B_1,145001
202A,service,202A_1,146001
202B,service,202B_1,147001
203(1)A,service,203(1)A_1,148001
203(1)B,service,203(1)B_1,149001
203(2)A,service,203(2)A_1,150001
203(2)B,service,203(2)B_1,151001
204A,service,204A_1,152001
204B,service,204B_1,153001
205A,service,205A_1,154001
205B,service,205B_1,155001
206A,service,206A_1,156001
206B,service,206B_1,157001
207A,service,207A_1,158001
207B,service,207B_1,159001
208A,service,208A_1,160001
208B,service,208B_1,161001
209A,service,209A_1,162001
020A,service,020A_1,163001
020B,service,020B_1,164001
210A,service,210A_1,165001
210B,service,210B_1,166001
212B,service,212B_1,167001
214A,service,214A_1,168001
214B,service,214B_1,169001
216A,service,216A_1,170001
216B,service,216B_1,171001
219A,service,219A_1,172001
219B,service,219B_1,173001
021A,service,021A_1,174001
221A,service,221A_1,175001
221B,service,221B_1,176001
222A,service,222A_1,177001
222B,service,222B_1,178001
223A,service,223A_1,179001
223B,service,223B_1,180001
224A,service,224A_1,181001
224B,service,224B_1,182001
225A,service,225A_1,183001
225B,service,225B_1,184001
226A,service,226A_1,185001
226B,service,226B_1,186001
227A,service,227A_1,187001
227B,service,227B_1,188001
228B,service,228B_1,189001
231A,service,231A_1,190001
231B,service,231B_1,191001
236A,service,236A_1,192001
236B,service,236B_1,193001
237A,service,237A_1,194001
237B,service,237B_1,195001
238A,service,238A_1,196001
238B,service,238B_1,197001
239A,service,239A_1,198001
239B,service,239B_1,199001
240A,service,240A_1,200001
240B,service,240B_1,201001
241A,service,241A_1,202001
241B,service,241B_1,203001
242A,service,242A_1,204001
242B,service,242B_1,205001
244A,service,244A_1,206001
244B,service,244B_1,207001
246A,service,246A_1,208001
246B,service,246B_1,209001
247A,service,247A_1,210001
247B,service,247B_1,211001
248A,service,248A_1,212001
248B,service,248B_1,213001
249A,service,249A_1,214001
249B,service,249B_1,215001
251B,service,251B_1,216001
254A,service,254A_1,217001
255A,service,255A_1,218001
255B,service,255B_1,219001
256A,service,256A_1,220001
256B,service,256B_1,221001
260A,service,260A_1,222001
260B,service,260B_1,223001
262B,service,262B_1,224001
264A,service,264A_1,225001
264B,service,264B_1,226001
265A,service,265A_1,227001
265B,service,265B_1,228001
266A,service,266A_1,229001
266B,service,266B_1,230001
267A,service,267A_1,231001
267B,service,267B_1,232001
269A,service,269A_1,233001
269B,service,269B_1,234001
026A,service,026A_1,235001
271A,service,271A_1,236001
271B,service,271B_1,237001
273A,service,273A_1,238001
273B,service,273B_1,239001
274A,service,274A_1,240001
274B,service,274B_1,241001
